,21,火,,
,22,水,,
,23,木,,
,24,金,,第3回英検
,25,土,休校日,
,26,日,休校日,
,27,月,,
,28,火,プレゼン大会,
,29,水,,
,30,木,,
,31,金,,
2月,1,土,休校日,
,2,日,休校日,
,3,月,,
,4,火,,
,5,水,,
,6,木,,
,7,金,,
,8,土,休校日,
,9,日,休校日,
,10,月,,
,11,火,休校日（建国記念の日）,
,12,水,,
,13,木,,
,14,金,,
,15,土,休校日,
,16,日,休校日,
,17,月,,
,18,火,,
,19,水,,
,20,木,,
,21,金,,
,22,土,休校日,
,23,日,休校日（天皇誕生日）,
,24,月,休校日（振替休日）,
,25,火,,
,26,水,プレゼン大会（梅田）,
,27,木,,
,28,金,,
,1,土,休校日,
3月,2,日,休校日,
,3,月,,
,4,火,,
,5,水,,
,6,木,,
,7,金,,
,8,土,休校日,
,9,日,休校日,
,10,月,,
,11,火,,
,12,水,,
,13,木,,
,14,金,,
,15,土,休校日,
,16,日,休校日,
,17,月,,
,18,火,成果発表会,
,19,水,授業最終日,
,20,木,休校日（春分の日）,
,21,金,休校日,
,22,土,休校日,
,23,日,休校日,
,24,月,休校日,
,25,火,休校日,
,26,水,休校日,
,27,木,休校日,
,28,金,休校日,
,29,土,休校日,
,30,日,休校日,
,31,月,休校日,
